央视频道,#genre#  2026年4月28日 10:52:01
CCTV-1综合,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227637/index.m3u8?servicetype=1
CCTV-2财经,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226178/index.m3u8?servicetype=1
CCTV-3综艺,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227437/index.m3u8?servicetype=1
CCTV-4中文国际,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226176/index.m3u8?servicetype=1
CCTV-5体育,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227425/index.m3u8?servicetype=1
CCTV-6电影,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227422/index.m3u8?servicetype=1
CCTV-7国防军事,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8?servicetype=1
CCTV-8电视剧,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227431/index.m3u8?servicetype=1
CCTV-9纪录,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226174/index.m3u8?servicetype=1
CCTV-10科教,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226184/index.m3u8?servicetype=1
CCTV-11戏曲,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227443/index.m3u8?servicetype=1
CCTV-12社会与法,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226183/index.m3u8?servicetype=1
CCTV-13新闻,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227446/index.m3u8?servicetype=1
CCTV-14少儿,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226182/index.m3u8?servicetype=1
CCTV-15音乐,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227549/index.m3u8?servicetype=1
CCTV-16奥林匹克,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8?servicetype=1
CCTV-17农业农村,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226869/index.m3u8?servicetype=1
CCTV-5+体育赛事,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8?servicetype=1
卫视频道,#genre#
北京卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226195/index.m3u8?servicetype=1
东方卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227476/index.m3u8?servicetype=1
湖南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227589/index.m3u8?servicetype=1
浙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227485/index.m3u8?servicetype=1
吉林卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227488/index.m3u8?servicetype=1
四川卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227579/index.m3u8?servicetype=1
天津卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227582/index.m3u8?servicetype=1
安徽卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227567/index.m3u8?servicetype=1
山东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227509/index.m3u8?servicetype=1
广东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226167/index.m3u8?servicetype=1
江苏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227482/index.m3u8?servicetype=1
江西卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227598/index.m3u8?servicetype=1
河北卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227592/index.m3u8?servicetype=1
河南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227595/index.m3u8?servicetype=1
海南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227601/index.m3u8?servicetype=1
深圳卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226136/index.m3u8?servicetype=1
湖北卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227518/index.m3u8?servicetype=1
贵州卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227564/index.m3u8?servicetype=1
重庆卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227580/index.m3u8?servicetype=1
东南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227467/index.m3u8?servicetype=1
辽宁卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226156/index.m3u8?servicetype=1
云南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227530/index.m3u8?servicetype=1
内蒙古卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227585/index.m3u8?servicetype=1
宁夏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227494/index.m3u8?servicetype=1
山西卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227503/index.m3u8?servicetype=1
广西卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227577/index.m3u8?servicetype=1
新疆卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227604/index.m3u8?servicetype=1
甘肃卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227470/index.m3u8?servicetype=1
西藏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227533/index.m3u8?servicetype=1
青海卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227500/index.m3u8?servicetype=1
黑龙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227583/index.m3u8?servicetype=1
辽宁地方,#genre#
沈阳新闻,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221227315/index.m3u8
辽宁都市,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227569/index.m3u8?servicetype=1
辽宁经济,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227645/index.m3u8?servicetype=1
辽宁公共,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227575/index.m3u8?servicetype=1
辽宁体育,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221227334/index.m3u8
辽宁生活,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227560/index.m3u8?servicetype=1
辽宁北方,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227551/index.m3u8?servicetype=1
辽宁移动,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221227328/index.m3u8
